taxon_id,rank,organism_name,parent,parent_rank
47021,family,Orbiliaceae,189479,order
49546,family,Flavobacteriaceae,200644,order
51026,family,Oxyuridae,70426,order
54124,family,Neodiplogasteridae,50827,order
55071,family,Microbotryaceae,55070,order
54588,family,Polystomatidae,40163,order
54740,family,Chionosphaeraceae,48846,order
57503,family,Urostylidae <Ciliata>,486728,order
57506,family,Oxytrichidae,693921,order
62133,family,Capnodiaceae,134362,order
62919,family,Tilletiariaceae,62913,order
64898,family,Aquificaceae,32069,order
65355,family,Albuginaceae,370421,order
68784,family,Sphaerobolaceae,157608,order
68792,family,Botryobasidiaceae,36064,order
69973,family,Closteroviridae,10239,superkingdom
72275,family,Alteromonadaceae,135622,order
72294,family,Campylobacteraceae,213849,order
74712,family,Frankiaceae,85013,order
75787,family,Rhodocyclaceae,206389,order
76803,family,Arteriviridae,76804,order
76892,family,Caulobacteraceae,204458,order
80628,family,Atheliaceae,452334,order
80864,family,Comamonadaceae,80840,order
81093,family,Magnaporthaceae,639021,order
81850,family,Leuconostocaceae,186826,order
82115,family,Rhizobiaceae,356,order
83233,family,Coriolaceae,5303,order
83778,family,Kineosporiaceae,622452,order
84566,family,Sphingobacteriaceae,200666,order
84642,family,Aeromonadaceae,135624,order
84994,family,Acidimicrobiaceae,84993,order
84997,family,Rubrobacteraceae,84996,order
85002,family,Sphaerobacteraceae,85001,order
85030,family,Geodermatophilaceae,1643682,order
85031,family,Nakamurellaceae,1643684,order
85032,family,Acidothermaceae,1643683,order
85034,family,Glycomycetaceae,85014,order
87265,family,Umbilicariaceae,452227,order
88646,family,Teloschistaceae,107465,order
89373,family,Cytophagaceae,768507,order
90627,family,Gallionellaceae,713636,order
90964,family,Staphylococcaceae,1385,order
99916,family,Amphisiellidae,33832,order
100025,family,Hysteriaceae,191554,order
103457,family,Dubosqiidae,6029,phylum
109943,family,Gonapodyaceae,79272,order
114255,family,Hyphochytriaceae,42382,class
114378,family,Thermofilaceae,2266,order
114848,family,Panagrolaimidae,6236,order
117942,family,Desulfurellaceae,213113,order
118883,family,Sulfolobaceae,2281,order
119163,family,Luteoviridae,10239,superkingdom
119859,family,Microchaetaceae,1161,order
128827,family,Erysipelotrichaceae,526525,order
134623,family,Opitutaceae,415000,order
135616,family,Piscirickettsiaceae,72273,order
135621,family,Pseudomonadaceae,72274,order
137992,family,Asfarviridae,10239,superkingdom
143786,family,Brachyspiraceae,1643686,order
146292,family,Verrucariaceae,146291,order
151340,family,Papillomaviridae,10239,superkingdom
151341,family,Polyomaviridae,10239,superkingdom
157897,family,Rudiviridae,1511857,order
165790,family,Erythrobasidiaceae,432006,order
165795,family,Mixiaceae,432026,order
189770,family,Chrysiogenaceae,189769,order
172820,family,Apusomonadidae,2759,superkingdom
174683,family,Ordosporidae,6029,phylum
174815,family,Mastigamoebidae,2759,superkingdom
178450,family,Boletinellaceae,68889,order
181550,family,Trichomonadidae,37104,order
183710,family,Deinococcaceae,118964,order
186534,family,Caulimoviridae,10239,superkingdom
186766,family,Narnaviridae,10239,superkingdom
186804,family,Peptostreptococcaceae,186802,order
186814,family,Thermoanaerobacteraceae,68295,order
188709,family,Thermotogaceae,2419,order
