kingdom_x,976,1117,1224,1239,1297,4751,28883,33208,57723,188961,201174,564886,1485168
976,275.0,,,,,,,,,,,,
1117,,3.0,,,,,,,,,,,
1224,,,8216.0,,,16.568494619951984,0.273318532438572,,,0.9880115016067026,113.21562654794153,,13.761010788432298
1239,,,,175.0,,,0.08777615090529838,0.9680582172414806,,,,,
1297,,,,,43.0,,,,,,,,
4751,,,1.2044244858738358,,,56.0,,,,,0.08200723638943483,,0.6167253579213507
28883,,,0.7266814675614279,0.9122238490947016,,,3.0,,,,,,
33208,,,,0.03194178275851933,,,,4.0,,,,,
57723,,,,,,,,,1.0,,,,
188961,,,0.011988498393297391,,,,,,,2.0,,,
201174,,,43.76144861702298,,,0.916024292857407,,,,,1206.0,,
564886,,,,,,,,,,,,1.0,
1485168,,,0.9715657715069651,,,0.8777003801612537,,,,,,,5.0
